Final form without custom sprite;;pre-evos that have custom sprites;;;
208.101; evolves from : ;95.100;;;
211.101; evolves from : ;211.100;;;
212.101; evolves from : ;123.100;;;
214.101; evolves from : ;214.100;;;
217.101; evolves from : ;216.100;;;
224.101; evolves from : ;224.100;;;
225.101; evolves from : ;225.100;;;
227.101; evolves from : ;227.100;;;
229.101; evolves from : ;229.100;;;
230.101; evolves from : ;117.100;116.100;;
235.101; evolves from : ;235.100;;;
242.101; evolves from : ;113.100;;;
248.101; evolves from : ;248.100;;;
250.101; evolves from : ;250.100;;;
254.101; evolves from : ;190.100;;;
256.101; evolves from : ;198.100;;;
263.101; evolves from : ;263.100;82.100;81.100;
264.101; evolves from : ;108.100;;;
265.101; evolves from : ;112.100;111.100;;
266.101; evolves from : ;114.100;;;
267.101; evolves from : ;125.100;239.100;;
268.101; evolves from : ;126.100;;;
281.101; evolves from : ;279.100;;;
284.101; evolves from : ;282.100;;;
287.101; evolves from : ;285.100;;;
288.101; evolves from : ;285.100;;;
293.101; evolves from : ;293.100;291.100;;
299.101; evolves from : ;299.100;;;
302.101; evolves from : ;301.100;;;
337.101; evolves from : ;397.100;;;
349.101; evolves from : ;349.100;;;
350.101; evolves from : ;350.100;;;
352.101; evolves from : ;400.100;;;
356.101; evolves from : ;382.100;;;
357.101; evolves from : ;357.100;;;
358.101; evolves from : ;358.100;;;
9.103; evolves from : ;7.102;;;
26.103; evolves from : ;25.102;;;
45.103; evolves from : ;44.102;43.102;;
53.103; evolves from : ;52.102;;;
94.103; evolves from : ;92.102;;;
97.103; evolves from : ;96.102;;;
103.103; evolves from : ;102.102;;;
115.103; evolves from : ;115.102;;;
132.103; evolves from : ;132.102;;;
134.103; evolves from : ;133.102;;;
136.103; evolves from : ;133.102;;;
171.103; evolves from : ;170.102;;;
182.103; evolves from : ;44.102;43.102;;
189.103; evolves from : ;187.102;;;
196.103; evolves from : ;133.102;;;
197.103; evolves from : ;133.102;;;
201.103; evolves from : ;201.102;;;
205.103; evolves from : ;204.102;;;
212.103; evolves from : ;123.102;;;
235.103; evolves from : ;235.102;;;
242.103; evolves from : ;113.102;;;
254.103; evolves from : ;190.102;;;
264.103; evolves from : ;108.102;;;
269.103; evolves from : ;176.102;175.102;;
270.103; evolves from : ;193.102;;;
271.103; evolves from : ;133.102;;;
272.103; evolves from : ;133.102;;;
293.103; evolves from : ;291.102;;;
299.103; evolves from : ;298.102;;;
306.103; evolves from : ;305.102;;;
313.103; evolves from : ;311.102;;;
326.103; evolves from : ;325.102;;;
339.103; evolves from : ;133.102;;;
351.103; evolves from : ;351.102;;;
354.103; evolves from : ;403.102;;;
362.103; evolves from : ;411.102;;;
20.105; evolves from : ;20.104;;;
40.105; evolves from : ;39.104;;;
45.105; evolves from : ;45.104;;;
57.105; evolves from : ;56.104;;;
76.105; evolves from : ;74.104;;;
80.105; evolves from : ;80.104;79.104;;
105.105; evolves from : ;104.104;;;
115.105; evolves from : ;115.104;;;
142.105; evolves from : ;142.104;;;
151.105; evolves from : ;151.104;;;
169.105; evolves from : ;42.104;41.104;;
171.105; evolves from : ;170.104;;;
196.105; evolves from : ;133.104;;;
199.105; evolves from : ;79.104;;;
201.105; evolves from : ;201.104;;;
205.105; evolves from : ;204.104;;;
208.105; evolves from : ;95.104;;;
211.105; evolves from : ;211.104;;;
224.105; evolves from : ;223.104;;;
256.105; evolves from : ;198.104;;;
263.105; evolves from : ;81.104;;;
267.105; evolves from : ;125.104;239.104;;
271.105; evolves from : ;133.104;;;
272.105; evolves from : ;133.104;;;
275.105; evolves from : ;137.104;;;
284.105; evolves from : ;282.104;;;
308.105; evolves from : ;308.104;307.104;;
313.105; evolves from : ;311.104;;;
326.105; evolves from : ;325.104;;;
333.105; evolves from : ;390.104;;;
336.105; evolves from : ;395.104;;;
338.105; evolves from : ;399.104;;;
339.105; evolves from : ;133.104;;;
341.105; evolves from : ;341.104;;;
351.105; evolves from : ;351.104;;;
353.105; evolves from : ;402.104;;;
361.105; evolves from : ;409.104;;;
49.106; evolves from : ;48.106;;;
59.106; evolves from : ;58.106;;;
65.106; evolves from : ;63.236;;;
76.106; evolves from : ;74.106;;;
80.106; evolves from : ;79.106;79.236;;
101.106; evolves from : ;100.236;;;
151.106; evolves from : ;151.236;;;
189.106; evolves from : ;187.236;;;
192.106; evolves from : ;191.106;191.236;;
195.106; evolves from : ;194.236;;;
199.106; evolves from : ;79.106;79.236;;
205.106; evolves from : ;204.236;;;
208.106; evolves from : ;95.236;;;
219.106; evolves from : ;218.106;;;
226.106; evolves from : ;261.236;;;
254.106; evolves from : ;190.106;190.236;;
263.106; evolves from : ;82.106;81.106;;
267.106; evolves from : ;125.106;;;
273.106; evolves from : ;207.236;;;
274.106; evolves from : ;220.236;;;
296.106; evolves from : ;384.236;;;
313.106; evolves from : ;312.106;311.106;311.236;
338.106; evolves from : ;399.236;;;
357.106; evolves from : ;405.106;;;
367.106; evolves from : ;365.106;;;
6.107; evolves from : ;4.236;;;
18.107; evolves from : ;16.236;;;
24.107; evolves from : ;23.236;;;
26.107; evolves from : ;25.107;172.236;;
34.107; evolves from : ;32.236;;;
40.107; evolves from : ;174.236;;;
57.107; evolves from : ;56.236;;;
62.107; evolves from : ;60.236;;;
71.107; evolves from : ;69.236;;;
76.107; evolves from : ;75.107;;;
80.107; evolves from : ;79.236;;;
97.107; evolves from : ;96.107;;;
101.107; evolves from : ;100.236;;;
151.107; evolves from : ;151.236;;;
192.107; evolves from : ;191.107;191.236;;
199.107; evolves from : ;79.236;;;
208.107; evolves from : ;95.236;;;
224.107; evolves from : ;223.107;;;
226.107; evolves from : ;261.236;;;
242.107; evolves from : ;113.107;;;
254.107; evolves from : ;190.236;;;
263.107; evolves from : ;82.107;;;
266.107; evolves from : ;114.107;;;
268.107; evolves from : ;126.107;;;
273.107; evolves from : ;207.236;;;
274.107; evolves from : ;220.236;;;
278.107; evolves from : ;276.236;;;
296.107; evolves from : ;384.236;;;
338.107; evolves from : ;399.236;;;
12.110; evolves from : ;10.109;;;
18.110; evolves from : ;17.109;16.109;;
26.110; evolves from : ;25.109;;;
47.110; evolves from : ;47.109;;;
51.110; evolves from : ;50.109;;;
53.110; evolves from : ;53.109;52.109;;
78.110; evolves from : ;77.109;;;
134.110; evolves from : ;133.109;;;
135.110; evolves from : ;133.109;;;
136.110; evolves from : ;133.109;;;
168.110; evolves from : ;167.109;;;
171.110; evolves from : ;170.109;;;
182.110; evolves from : ;44.109;43.109;;
189.110; evolves from : ;189.109;188.109;187.109;
195.110; evolves from : ;195.109;194.109;;
196.110; evolves from : ;133.109;;;
254.110; evolves from : ;190.109;;;
266.110; evolves from : ;114.109;;;
267.110; evolves from : ;239.109;;;
271.110; evolves from : ;133.109;;;
272.110; evolves from : ;133.109;;;
304.110; evolves from : ;303.109;;;
324.110; evolves from : ;322.109;;;
339.110; evolves from : ;133.109;;;
351.110; evolves from : ;351.109;;;
359.110; evolves from : ;407.109;406.109;;
362.110; evolves from : ;362.109;;;
367.110; evolves from : ;365.109;;;
62.115; evolves from : ;61.115;;;
135.115; evolves from : ;133.115;;;
171.115; evolves from : ;170.115;;;
186.115; evolves from : ;61.115;;;
196.115; evolves from : ;133.115;;;
197.115; evolves from : ;133.115;;;
230.115; evolves from : ;116.115;;;
254.115; evolves from : ;190.115;;;
266.115; evolves from : ;114.115;;;
271.115; evolves from : ;133.115;;;
272.115; evolves from : ;133.115;;;
313.115; evolves from : ;311.115;;;
335.115; evolves from : ;394.115;;;
339.115; evolves from : ;133.115;;;
26.119; evolves from : ;25.118;172.118;;
47.119; evolves from : ;46.118;;;
62.119; evolves from : ;61.118;60.118;;
80.119; evolves from : ;79.118;;;
87.119; evolves from : ;86.118;;;
97.119; evolves from : ;96.118;;;
105.119; evolves from : ;104.118;;;
119.119; evolves from : ;119.118;;;
124.119; evolves from : ;124.118;;;
130.119; evolves from : ;129.118;;;
149.119; evolves from : ;148.118;147.118;;
168.119; evolves from : ;168.118;;;
171.119; evolves from : ;170.118;;;
186.119; evolves from : ;61.118;60.118;;
199.119; evolves from : ;79.118;;;
219.119; evolves from : ;218.118;;;
222.119; evolves from : ;222.118;;;
229.119; evolves from : ;229.118;;;
299.119; evolves from : ;297.118;;;
313.119; evolves from : ;311.118;;;
335.119; evolves from : ;335.118;;;
368.119; evolves from : ;414.118;;;
381.119; evolves from : ;381.118;;;
3.121; evolves from : ;2.120;;;
9.121; evolves from : ;8.120;;;
45.121; evolves from : ;43.120;;;
47.121; evolves from : ;46.120;;;
51.121; evolves from : ;50.120;;;
53.121; evolves from : ;52.120;;;
55.121; evolves from : ;54.120;;;
65.121; evolves from : ;65.120;64.120;;
80.121; evolves from : ;79.120;;;
99.121; evolves from : ;98.120;;;
101.121; evolves from : ;100.120;;;
121.121; evolves from : ;121.120;;;
130.121; evolves from : ;130.120;;;
171.121; evolves from : ;170.120;;;
182.121; evolves from : ;43.120;;;
189.121; evolves from : ;187.120;;;
199.121; evolves from : ;79.120;;;
230.121; evolves from : ;116.120;;;
232.121; evolves from : ;231.120;;;
274.121; evolves from : ;221.120;;;
313.121; evolves from : ;311.120;;;
329.121; evolves from : ;327.120;;;
368.121; evolves from : ;415.120;;;
380.121; evolves from : ;380.120;;;
3.122; evolves from : ;1.258;;;
6.122; evolves from : ;4.258;;;
9.122; evolves from : ;7.258;;;
12.122; evolves from : ;10.258;;;
18.122; evolves from : ;16.258;;;
38.122; evolves from : ;37.258;;;
53.122; evolves from : ;52.122;;;
57.122; evolves from : ;56.258;;;
62.122; evolves from : ;61.122;;;
71.122; evolves from : ;70.122;;;
134.122; evolves from : ;133.258;;;
135.122; evolves from : ;133.258;;;
136.122; evolves from : ;133.258;;;
154.122; evolves from : ;152.258;;;
157.122; evolves from : ;155.258;;;
160.122; evolves from : ;158.258;;;
162.122; evolves from : ;161.258;;;
171.122; evolves from : ;170.122;170.258;;
182.122; evolves from : ;43.122;;;
185.122; evolves from : ;257.258;;;
186.122; evolves from : ;61.122;;;
196.122; evolves from : ;133.258;;;
197.122; evolves from : ;133.258;;;
217.122; evolves from : ;216.258;;;
224.122; evolves from : ;223.122;;;
254.122; evolves from : ;190.122;190.258;;
264.122; evolves from : ;108.122;108.258;;
269.122; evolves from : ;175.258;;;
271.122; evolves from : ;133.258;;;
272.122; evolves from : ;133.258;;;
278.122; evolves from : ;276.258;;;
284.122; evolves from : ;282.258;;;
287.122; evolves from : ;285.258;;;
288.122; evolves from : ;285.258;;;
313.122; evolves from : ;311.122;311.258;;
321.122; evolves from : ;319.258;;;
329.122; evolves from : ;328.122;327.258;;
332.122; evolves from : ;388.258;;;
337.122; evolves from : ;397.122;397.258;;
339.122; evolves from : ;133.258;;;
346.122; evolves from : ;346.258;;;
352.122; evolves from : ;401.122;400.122;400.258;
355.122; evolves from : ;404.258;;;
381.122; evolves from : ;381.258;;;
24.124; evolves from : ;23.124;;;
26.124; evolves from : ;25.124;;;
31.124; evolves from : ;29.124;;;
40.124; evolves from : ;39.124;;;
94.124; evolves from : ;93.124;92.238;;
97.124; evolves from : ;96.238;;;
119.124; evolves from : ;118.124;118.238;;
134.124; evolves from : ;133.124;;;
135.124; evolves from : ;133.124;;;
136.124; evolves from : ;133.124;;;
141.124; evolves from : ;140.238;;;
162.124; evolves from : ;161.124;;;
169.124; evolves from : ;42.124;;;
171.124; evolves from : ;170.124;170.238;;
189.124; evolves from : ;187.124;;;
264.124; evolves from : ;108.124;;;
267.124; evolves from : ;239.238;;;
269.124; evolves from : ;175.238;;;
271.124; evolves from : ;133.124;;;
274.124; evolves from : ;220.124;220.238;;
288.124; evolves from : ;285.238;;;
334.124; evolves from : ;392.238;;;
339.124; evolves from : ;133.124;;;
354.124; evolves from : ;403.238;;;
361.124; evolves from : ;409.238;;;
367.124; evolves from : ;365.238;;;
3.127; evolves from : ;1.127;;;
31.127; evolves from : ;30.127;29.127;;
49.127; evolves from : ;48.127;;;
55.127; evolves from : ;54.127;;;
57.127; evolves from : ;56.127;;;
76.127; evolves from : ;75.127;;;
103.127; evolves from : ;102.127;;;
169.127; evolves from : ;42.127;41.127;;
171.127; evolves from : ;170.127;;;
242.127; evolves from : ;113.127;;;
248.127; evolves from : ;246.127;;;
263.127; evolves from : ;82.127;;;
264.127; evolves from : ;108.127;;;
287.127; evolves from : ;285.127;;;
288.127; evolves from : ;285.127;;;
313.127; evolves from : ;311.127;;;
6.128; evolves from : ;5.128;;;
103.128; evolves from : ;102.128;;;
171.128; evolves from : ;170.128;;;
197.128; evolves from : ;133.128;;;
339.128; evolves from : ;133.128;;;
377.128; evolves from : ;375.128;;;
28.130; evolves from : ;27.129;;;
38.130; evolves from : ;37.129;;;
45.130; evolves from : ;43.129;;;
53.130; evolves from : ;52.129;;;
55.130; evolves from : ;54.129;;;
62.130; evolves from : ;62.129;61.129;60.129;
87.130; evolves from : ;86.129;;;
89.130; evolves from : ;89.129;88.129;;
101.130; evolves from : ;100.129;;;
132.130; evolves from : ;132.129;;;
146.130; evolves from : ;146.129;;;
162.130; evolves from : ;161.129;;;
182.130; evolves from : ;43.129;;;
186.130; evolves from : ;186.129;61.129;60.129;
189.130; evolves from : ;189.129;;;
192.130; evolves from : ;191.129;;;
195.130; evolves from : ;195.129;194.129;;
217.130; evolves from : ;217.129;;;
219.130; evolves from : ;218.129;;;
224.130; evolves from : ;223.129;;;
288.130; evolves from : ;285.129;;;
313.130; evolves from : ;311.129;;;
337.130; evolves from : ;398.129;397.129;;
341.130; evolves from : ;341.129;;;
367.130; evolves from : ;367.129;;;
372.130; evolves from : ;417.129;;;
383.130; evolves from : ;294.129;;;
420.130; evolves from : ;420.129;;;
87.131; evolves from : ;86.131;;;
105.131; evolves from : ;104.131;;;
106.131; evolves from : ;236.131;;;
199.131; evolves from : ;79.131;;;
237.131; evolves from : ;236.131;;;
242.131; evolves from : ;113.131;;;
266.131; evolves from : ;114.131;;;
313.131; evolves from : ;311.131;;;
329.131; evolves from : ;328.131;;;
333.131; evolves from : ;391.131;;;
3.132; evolves from : ;2.132;1.132;;
6.132; evolves from : ;5.132;4.132;;
9.132; evolves from : ;7.132;;;
26.132; evolves from : ;25.132;;;
31.132; evolves from : ;30.132;;;
53.132; evolves from : ;52.132;;;
65.132; evolves from : ;64.132;;;
94.132; evolves from : ;92.132;;;
101.132; evolves from : ;100.132;;;
103.132; evolves from : ;102.132;;;
122.132; evolves from : ;258.132;;;
130.132; evolves from : ;129.132;;;
169.132; evolves from : ;42.132;;;
171.132; evolves from : ;170.132;;;
178.132; evolves from : ;177.132;;;
192.132; evolves from : ;191.132;;;
230.132; evolves from : ;116.132;;;
264.132; evolves from : ;108.132;;;
266.132; evolves from : ;114.132;;;
313.132; evolves from : ;311.132;;;
335.132; evolves from : ;394.132;;;
355.132; evolves from : ;404.132;;;
3.134; evolves from : ;1.133;;;
12.134; evolves from : ;12.133;;;
18.134; evolves from : ;17.133;16.133;;
20.134; evolves from : ;19.133;;;
31.134; evolves from : ;30.133;;;
34.134; evolves from : ;32.133;;;
38.134; evolves from : ;37.133;;;
40.134; evolves from : ;40.133;39.133;174.133;
45.134; evolves from : ;43.133;;;
49.134; evolves from : ;49.133;48.133;;
53.134; evolves from : ;53.133;52.133;;
59.134; evolves from : ;58.133;;;
78.134; evolves from : ;78.133;77.133;;
80.134; evolves from : ;79.133;;;
83.134; evolves from : ;83.133;;;
89.134; evolves from : ;89.133;88.133;;
94.134; evolves from : ;94.133;93.133;92.133;
101.134; evolves from : ;100.133;;;
110.134; evolves from : ;109.133;;;
141.134; evolves from : ;140.133;;;
149.134; evolves from : ;149.133;147.133;;
154.134; evolves from : ;152.133;;;
157.134; evolves from : ;155.133;;;
160.134; evolves from : ;158.133;;;
162.134; evolves from : ;161.133;;;
168.134; evolves from : ;168.133;167.133;;
169.134; evolves from : ;169.133;42.133;41.133;
171.134; evolves from : ;170.133;;;
181.134; evolves from : ;180.133;179.133;;
192.134; evolves from : ;191.133;;;
199.134; evolves from : ;79.133;;;
202.134; evolves from : ;202.133;;;
206.134; evolves from : ;206.133;;;
217.134; evolves from : ;217.133;216.133;;
226.134; evolves from : ;261.133;;;
229.134; evolves from : ;228.133;;;
235.134; evolves from : ;235.133;;;
251.134; evolves from : ;251.133;;;
264.134; evolves from : ;108.133;;;
266.134; evolves from : ;114.133;;;
268.134; evolves from : ;268.133;126.133;240.133;
274.134; evolves from : ;220.133;;;
275.134; evolves from : ;275.133;;;
281.134; evolves from : ;279.133;;;
284.134; evolves from : ;282.133;;;
287.134; evolves from : ;286.133;;;
288.134; evolves from : ;286.133;;;
296.134; evolves from : ;296.133;384.133;;
302.134; evolves from : ;301.133;;;
304.134; evolves from : ;303.133;;;
313.134; evolves from : ;311.133;;;
315.134; evolves from : ;315.133;;;
324.134; evolves from : ;322.133;;;
329.134; evolves from : ;327.133;;;
331.134; evolves from : ;330.133;;;
345.134; evolves from : ;345.133;;;
346.134; evolves from : ;346.133;;;
352.134; evolves from : ;352.133;401.133;;
360.134; evolves from : ;360.133;408.133;;
367.134; evolves from : ;365.133;;;
368.134; evolves from : ;414.133;;;
370.134; evolves from : ;370.133;;;
6.135; evolves from : ;5.133;4.133;;
9.135; evolves from : ;7.133;;;
18.135; evolves from : ;17.133;16.133;;
22.135; evolves from : ;21.133;;;
31.135; evolves from : ;30.133;;;
34.135; evolves from : ;32.133;;;
40.135; evolves from : ;40.133;39.133;174.133;
49.135; evolves from : ;49.133;48.133;;
53.135; evolves from : ;53.133;52.133;;
59.135; evolves from : ;58.133;;;
78.135; evolves from : ;78.133;77.133;;
80.135; evolves from : ;79.133;;;
83.135; evolves from : ;83.133;;;
101.135; evolves from : ;100.133;;;
105.135; evolves from : ;104.133;;;
110.135; evolves from : ;109.133;;;
122.135; evolves from : ;122.133;258.133;;
131.135; evolves from : ;131.133;;;
141.135; evolves from : ;140.133;;;
149.135; evolves from : ;149.133;147.133;;
151.135; evolves from : ;151.133;;;
154.135; evolves from : ;152.133;;;
160.135; evolves from : ;158.133;;;
162.135; evolves from : ;161.133;;;
168.135; evolves from : ;168.133;167.133;;
169.135; evolves from : ;169.133;42.133;41.133;
178.135; evolves from : ;178.133;177.133;;
184.135; evolves from : ;184.133;183.133;252.133;
192.135; evolves from : ;191.133;;;
199.135; evolves from : ;79.133;;;
201.135; evolves from : ;201.133;;;
202.135; evolves from : ;202.133;;;
206.135; evolves from : ;206.133;;;
217.135; evolves from : ;217.133;216.133;;
226.135; evolves from : ;261.133;;;
230.135; evolves from : ;116.133;;;
235.135; evolves from : ;235.133;;;
251.135; evolves from : ;251.133;;;
263.135; evolves from : ;263.133;82.133;81.133;
264.135; evolves from : ;108.133;;;
266.135; evolves from : ;114.133;;;
268.135; evolves from : ;268.133;126.133;240.133;
273.135; evolves from : ;273.133;;;
275.135; evolves from : ;275.133;;;
281.135; evolves from : ;279.133;;;
284.135; evolves from : ;282.133;;;
288.135; evolves from : ;286.133;;;
302.135; evolves from : ;301.133;;;
304.135; evolves from : ;303.133;;;
313.135; evolves from : ;311.133;;;
314.135; evolves from : ;314.133;;;
315.135; evolves from : ;315.133;;;
329.135; evolves from : ;327.133;;;
331.135; evolves from : ;330.133;;;
333.135; evolves from : ;391.133;;;
345.135; evolves from : ;345.133;;;
346.135; evolves from : ;346.133;;;
352.135; evolves from : ;352.133;401.133;;
360.135; evolves from : ;360.133;408.133;;
367.135; evolves from : ;365.133;;;
368.135; evolves from : ;414.133;;;
370.135; evolves from : ;370.133;;;
373.135; evolves from : ;373.133;;;
3.136; evolves from : ;1.133;;;
9.136; evolves from : ;7.133;;;
12.136; evolves from : ;12.133;;;
18.136; evolves from : ;17.133;16.133;;
20.136; evolves from : ;19.133;;;
22.136; evolves from : ;21.133;;;
26.136; evolves from : ;25.133;;;
31.136; evolves from : ;30.133;;;
34.136; evolves from : ;32.133;;;
49.136; evolves from : ;49.133;48.133;;
78.136; evolves from : ;78.133;77.133;;
80.136; evolves from : ;79.133;;;
83.136; evolves from : ;83.133;;;
89.136; evolves from : ;89.133;88.133;;
94.136; evolves from : ;94.133;93.133;92.133;
105.136; evolves from : ;104.133;;;
110.136; evolves from : ;109.133;;;
131.136; evolves from : ;131.133;;;
136.136; evolves from : ;136.133;133.133;;
141.136; evolves from : ;140.133;;;
143.136; evolves from : ;260.133;;;
151.136; evolves from : ;151.133;;;
154.136; evolves from : ;152.133;;;
157.136; evolves from : ;155.133;;;
160.136; evolves from : ;158.133;;;
162.136; evolves from : ;161.133;;;
168.136; evolves from : ;168.133;167.133;;
171.136; evolves from : ;170.133;;;
178.136; evolves from : ;178.133;177.133;;
181.136; evolves from : ;180.133;179.133;;
182.136; evolves from : ;43.133;;;
184.136; evolves from : ;184.133;183.133;252.133;
199.136; evolves from : ;79.133;;;
201.136; evolves from : ;201.133;;;
202.136; evolves from : ;202.133;;;
206.136; evolves from : ;206.133;;;
217.136; evolves from : ;217.133;216.133;;
226.136; evolves from : ;261.133;;;
229.136; evolves from : ;228.133;;;
251.136; evolves from : ;251.133;;;
263.136; evolves from : ;263.133;82.133;81.133;
264.136; evolves from : ;108.133;;;
266.136; evolves from : ;114.133;;;
268.136; evolves from : ;268.133;126.133;240.133;
275.136; evolves from : ;275.133;;;
281.136; evolves from : ;279.133;;;
287.136; evolves from : ;286.133;;;
288.136; evolves from : ;286.133;;;
296.136; evolves from : ;296.133;384.133;;
302.136; evolves from : ;301.133;;;
304.136; evolves from : ;303.133;;;
313.136; evolves from : ;311.133;;;
314.136; evolves from : ;314.133;;;
315.136; evolves from : ;315.133;;;
324.136; evolves from : ;322.133;;;
329.136; evolves from : ;327.133;;;
331.136; evolves from : ;330.133;;;
333.136; evolves from : ;391.133;;;
335.136; evolves from : ;394.133;;;
345.136; evolves from : ;345.133;;;
346.136; evolves from : ;346.133;;;
360.136; evolves from : ;360.133;408.133;;
368.136; evolves from : ;414.133;;;
370.136; evolves from : ;370.133;;;
373.136; evolves from : ;373.133;;;
26.139; evolves from : ;26.138;25.138;172.138;
28.139; evolves from : ;27.138;;;
38.139; evolves from : ;37.138;;;
85.139; evolves from : ;84.138;;;
94.139; evolves from : ;92.138;;;
124.139; evolves from : ;238.138;;;
128.139; evolves from : ;128.138;;;
139.139; evolves from : ;139.138;;;
171.139; evolves from : ;170.138;;;
185.139; evolves from : ;257.138;;;
222.139; evolves from : ;222.138;;;
256.139; evolves from : ;198.138;;;
266.139; evolves from : ;114.138;;;
326.139; evolves from : ;326.138;;;
333.139; evolves from : ;390.138;;;
336.139; evolves from : ;396.138;;;
344.139; evolves from : ;344.138;;;
362.139; evolves from : ;362.138;;;
367.139; evolves from : ;365.138;;;
9.141; evolves from : ;7.140;;;
18.141; evolves from : ;17.140;16.140;;
24.141; evolves from : ;24.140;;;
40.141; evolves from : ;39.140;;;
45.141; evolves from : ;44.140;43.140;;
49.141; evolves from : ;48.140;;;
80.141; evolves from : ;79.140;;;
91.141; evolves from : ;90.140;;;
94.141; evolves from : ;94.140;;;
141.141; evolves from : ;141.140;;;
166.141; evolves from : ;166.140;165.140;;
171.141; evolves from : ;170.140;;;
196.141; evolves from : ;196.140;;;
199.141; evolves from : ;79.140;;;
201.141; evolves from : ;201.140;;;
202.141; evolves from : ;253.140;;;
226.141; evolves from : ;226.140;;;
248.141; evolves from : ;247.140;246.140;;
269.141; evolves from : ;269.140;176.140;175.140;
274.141; evolves from : ;220.140;;;
288.141; evolves from : ;286.140;;;
293.141; evolves from : ;291.140;;;
299.141; evolves from : ;297.140;;;
313.141; evolves from : ;311.140;;;
315.141; evolves from : ;315.140;;;
336.141; evolves from : ;396.140;;;
360.141; evolves from : ;408.140;;;
364.141; evolves from : ;413.140;;;
373.141; evolves from : ;373.140;;;
20.142; evolves from : ;19.142;;;
51.142; evolves from : ;50.142;;;
134.142; evolves from : ;133.142;;;
136.142; evolves from : ;133.142;;;
171.142; evolves from : ;170.142;;;
196.142; evolves from : ;133.142;;;
212.142; evolves from : ;123.142;;;
272.142; evolves from : ;133.142;;;
18.143; evolves from : ;16.260;;;
45.143; evolves from : ;43.260;;;
53.143; evolves from : ;52.143;;;
62.143; evolves from : ;61.143;;;
105.143; evolves from : ;104.143;104.260;;
135.143; evolves from : ;133.143;;;
162.143; evolves from : ;161.260;;;
166.143; evolves from : ;165.260;;;
171.143; evolves from : ;170.143;170.260;;
182.143; evolves from : ;43.260;;;
192.143; evolves from : ;191.143;;;
208.143; evolves from : ;95.260;;;
265.143; evolves from : ;112.143;;;
272.143; evolves from : ;133.143;;;
274.143; evolves from : ;220.143;;;
281.143; evolves from : ;279.260;;;
309.143; evolves from : ;386.143;385.143;;
383.143; evolves from : ;294.143;294.260;;
26.144; evolves from : ;25.144;;;
53.144; evolves from : ;52.144;;;
171.144; evolves from : ;170.144;;;
205.144; evolves from : ;204.144;;;
313.144; evolves from : ;311.144;;;
383.144; evolves from : ;294.144;;;
12.145; evolves from : ;11.145;10.145;;
178.145; evolves from : ;177.145;;;
255.145; evolves from : ;200.145;;;
313.145; evolves from : ;311.145;;;
329.145; evolves from : ;327.145;;;
383.145; evolves from : ;294.145;;;
45.146; evolves from : ;43.146;;;
105.146; evolves from : ;104.146;;;
130.146; evolves from : ;129.146;;;
171.146; evolves from : ;170.146;;;
182.146; evolves from : ;43.146;;;
289.146; evolves from : ;382.146;;;
313.146; evolves from : ;311.146;;;
356.146; evolves from : ;382.146;;;
383.146; evolves from : ;294.146;;;
51.149; evolves from : ;51.147;50.147;;
85.149; evolves from : ;85.147;84.147;;
101.149; evolves from : ;100.147;;;
106.149; evolves from : ;106.148;;;
121.149; evolves from : ;121.147;120.147;;
131.149; evolves from : ;131.148;;;
169.149; evolves from : ;169.147;42.147;41.147;
178.149; evolves from : ;178.147;177.147;;
199.149; evolves from : ;79.147;;;
201.149; evolves from : ;201.147;;;
256.149; evolves from : ;256.148;;;
262.149; evolves from : ;215.147;;;
273.149; evolves from : ;273.148;;;
288.149; evolves from : ;288.148;286.147;285.147;
318.149; evolves from : ;316.147;;;
331.149; evolves from : ;330.147;;;
358.149; evolves from : ;358.147;;;
362.149; evolves from : ;411.147;;;
370.149; evolves from : ;370.148;;;
383.149; evolves from : ;294.147;;;
9.150; evolves from : ;8.150;;;
12.150; evolves from : ;10.150;;;
18.150; evolves from : ;16.150;;;
26.150; evolves from : ;25.150;;;
59.150; evolves from : ;58.150;;;
130.150; evolves from : ;129.150;;;
169.150; evolves from : ;42.150;41.150;;
171.150; evolves from : ;170.150;;;
242.150; evolves from : ;113.150;;;
313.150; evolves from : ;312.150;311.150;;
362.150; evolves from : ;411.150;;;
383.150; evolves from : ;294.150;;;
3.151; evolves from : ;1.151;;;
9.151; evolves from : ;7.151;;;
12.151; evolves from : ;10.151;;;
20.151; evolves from : ;19.151;;;
45.151; evolves from : ;43.151;;;
105.151; evolves from : ;104.151;;;
149.151; evolves from : ;148.151;147.151;;
171.151; evolves from : ;170.151;;;
181.151; evolves from : ;179.151;;;
199.151; evolves from : ;79.151;;;
270.151; evolves from : ;193.151;;;
278.151; evolves from : ;277.151;;;
313.151; evolves from : ;311.151;;;
324.151; evolves from : ;322.151;;;
383.151; evolves from : ;294.151;;;
9.154; evolves from : ;8.152;7.152;;
12.154; evolves from : ;12.153;;;
18.154; evolves from : ;16.152;;;
20.154; evolves from : ;19.152;;;
31.154; evolves from : ;29.152;;;
51.154; evolves from : ;50.152;;;
94.154; evolves from : ;92.152;;;
97.154; evolves from : ;96.152;;;
122.154; evolves from : ;258.152;;;
131.154; evolves from : ;131.152;;;
132.154; evolves from : ;132.152;;;
151.154; evolves from : ;151.152;;;
154.154; evolves from : ;154.152;;;
164.154; evolves from : ;163.152;;;
169.154; evolves from : ;42.152;;;
195.154; evolves from : ;194.152;;;
